"","team","salary","player","position","season"
"2365","Utah Jazz",3700000,"CJ Miles","SF","2009-2010"
"2366","Memphis Grizzlies",3696000,"Steven Hunter","C","2009-2010"
"2367","Philadelphia 76ers",3682000,"Willie Green","SG","2009-2010"
"2368","Minnesota Timberwolves",3670667,"Ramon Sessions","G","2009-2010"
"2369","Denver Nuggets",3650000,"Chris Andersen","PF","2009-2010"
"2370","Minnesota Timberwolves",3630000,"Damien Wilkins","SG","2009-2010"
"2371","Sacramento Kings",3610080,"Tyreke Evans","SG","2009-2010"
"2372","Milwaukee Bucks",3602960,"Charlie Bell","SG","2009-2010"
"2373","Portland Trail Blazers",3600000,"Travis Outlaw","SF","2009-2010"
"2374","Washington Wizards",3575761,"Randy Foye","SG","2009-2010"
"2375","New Jersey Nets",3564000,"Keyon Dooling","PG","2009-2010"
"2376","Oklahoma City Thunder",3516960,"Jeff Green","SF","2009-2010"
"2377","Milwaukee Bucks",3500000,"Carlos Delfino","SG","2009-2010"
"2378","Houston Rockets",3500000,"Brian Cook","PF","2009-2010"
"2379","Boston Celtics",3413793,"Brian Scalabrine","PF","2009-2010"
"2380","Minnesota Timberwolves",3401040,"Kevin Love","PF","2009-2010"
"2381","Memphis Grizzlies",3333333,"Marc Gasol","C","2009-2010"
"2382","Houston Rockets",3284667,"Luis Scola","F","2009-2010"
"2383","Memphis Grizzlies",3280997,"Rudy Gay","SF","2009-2010"
"2384","San Antonio Spurs",3256500,"Matt Bonner","C","2009-2010"
"2385","New Jersey Nets",3194400,"Yi Jianlian","SF","2009-2010"
"2386","Golden State Warriors",3100000,"Kelenna Azubuike","SF","2009-2010"
"2387","New York Knicks",3089040,"Danilo Gallinari","SF","2009-2010"
"2388","Boston Celtics",3000004,"Glen Davis","PF","2009-2010"
"2389","Cleveland Cavaliers",3e+06,"Jamario Moon","SF","2009-2010"
"2390","New Jersey Nets",3e+06,"Eduardo Najera","PF","2009-2010"
"2391","Phoenix Suns",3e+06,"Grant Hill","SF","2009-2010"
"2392","Washington Wizards",3e+06,"Andray Blatche","C","2009-2010"
"2393","Milwaukee Bucks",3e+06,"Hakim Warrick","PF","2009-2010"
"2394","Detroit Pistons",3e+06,"Chris Wilcox","PF","2009-2010"
"2395","Minnesota Timberwolves",2969280,"Jonny Flynn","PG","2009-2010"
"2396","Minnesota Timberwolves",2916120,"Corey Brewer","F","2009-2010"
"2397","New Jersey Nets",2900000,"Kris Humphries","PF","2009-2010"
"2398","Miami Heat",2887165,"Dorell Wright","SF","2009-2010"
"2399","New York Knicks",2862000,"Eddie House","SG","2009-2010"
"2400","Minnesota Timberwolves",2840000,"Mark Madsen","PF","2009-2010"
"2401","Orlando Magic",2839408,"JJ Redick","SG","2009-2010"
"2402","LA Clippers",2819880,"Eric Gordon","SG","2009-2010"
"2403","Sacramento Kings",2801198,"Hilton Armstrong","PF","2009-2010"
"2404","Indiana Pacers",2800000,"Earl Watson","PG","2009-2010"
"2405","Oklahoma City Thunder",2759628,"Thabo Sefolosha","SF","2009-2010"
"2406","Memphis Grizzlies",2717161,"Ronnie Brewer","SF","2009-2010"
"2407","Golden State Warriors",2710560,"Stephen Curry","PG","2009-2010"
"2408","Houston Rockets",2671440,"Brandan Wright","F","2009-2010"
"2409","Cleveland Cavaliers",2644231,"Anthony Parker","SG","2009-2010"
"2410","Chicago Bulls",2583360,"Joe Alexander","SF","2009-2010"
"2411","LA Clippers",2500000,"Sebastian Telfair","PG","2009-2010"
"2412","Atlanta Hawks",2500000,"Maurice Evans","SG","2009-2010"
"2413","San Antonio Spurs",2500000,"Michael Finley","SG","2009-2010"
"2414","New York Knicks",2483280,"Jordan Hill","C","2009-2010"
"2415","Chicago Bulls",2455680,"Joakim Noah","C","2009-2010"
"2416","Minnesota Timberwolves",2416067,"Shawne Williams","SF","2009-2010"
"2417","LA Clippers",2400000,"Ricky Davis","SG","2009-2010"
"2418","Charlotte Bobcats",2374680,"D.J. Augustin","PG","2009-2010"
"2419","Sacramento Kings",2332800,"Spencer Hawes","PF","2009-2010"
"2420","Houston Rockets",2314815,"David Andersen","C","2009-2010"
"2421","LA Clippers",2300000,"Craig Smith","PF","2009-2010"
"2422","Toronto Raptors",2282640,"DeMar DeRozan","SG","2009-2010"
"2423","New Jersey Nets",2255880,"Brook Lopez","C","2009-2010"
"2424","Charlotte Bobcats",2216160,"Acie Law","PG","2009-2010"
"2425","Minnesota Timberwolves",2183333,"Ryan Hollins","C","2009-2010"
"2426","Milwaukee Bucks",2168520,"Brandon Jennings","G","2009-2010"
"2427","Houston Rockets",2147750,"Chuck Hayes","PF","2009-2010"
"2428","Portland Trail Blazers",2143080,"Jerryd Bayless","PG","2009-2010"
"2429","Denver Nuggets",2112417,"Renaldo Balkman","SF","2009-2010"
"2430","Philadelphia 76ers",2105400,"Thaddeus Young","PF","2009-2010"
"2431","Milwaukee Bucks",2100000,"Ersan Ilyasova","PF","2009-2010"
"2432","Boston Celtics",2094923,"Rajon Rondo","PG","2009-2010"
"2433","New Jersey Nets",2062800,"Jarvis Hayes","SF","2009-2010"
"2434","Orlando Magic",2062800,"Anthony Johnson","PG","2009-2010"
"2435","Houston Rockets",2062800,"Brent Barry","SG","2009-2010"
"2436","New Jersey Nets",2060040,"Terrence Williams","SG","2009-2010"
"2437","New Jersey Nets",2056968,"Josh Boone","C","2009-2010"
"2438","Sacramento Kings",2035920,"Jason Thompson","PF","2009-2010"
"2439","Houston Rockets",2034996,"Kyle Lowry","PG","2009-2010"
"2440","New Orleans Hornets",2000040,"Julian Wright","SF","2009-2010"
"2441","Chicago Bulls",1990000,"Jannero Pargo","PG","2009-2010"
"2442","Los Angeles Lakers",1990000,"Shannon Brown","PG","2009-2010"
"2443","Washington Wizards",1990000,"Fabricio Oberto","C","2009-2010"
"2444","Toronto Raptors",1990000,"Rasho Nesterovic","C","2009-2010"
"2445","Charlotte Bobcats",1990000,"Ronald Murray","SG","2009-2010"
"2446","Phoenix Suns",1990000,"Channing Frye","F","2009-2010"
"2447","Charlotte Bobcats",1957080,"Gerald Henderson","SG","2009-2010"
"2448","Los Angeles Lakers",1947240,"Jordan Farmar","PG","2009-2010"
"2449","Indiana Pacers",1934160,"Brandon Rush","SG","2009-2010"
"2450","Washington Wizards",1900200,"Al Thornton","SF","2009-2010"
"2451","LA Clippers",1867742,"Mardy Collins","PG","2009-2010"
"2452","Indiana Pacers",1859160,"Tyler Hansbrough","PF","2009-2010"
"2453","Golden State Warriors",1837560,"Anthony Randolph","SF","2009-2010"
"2454","Phoenix Suns",1836000,"Goran Dragic","PG","2009-2010"
"2455","Detroit Pistons",1805040,"Rodney Stuckey","PG","2009-2010"
"2456","Toronto Raptors",1800000,"Antoine Wright","SF","2009-2010"
"2457","Phoenix Suns",1766280,"Earl Clark","SF","2009-2010"
"2458","Phoenix Suns",1745520,"Robin Lopez","C","2009-2010"
"2459","Washington Wizards",1714800,"Nick Young","G","2009-2010"
"2460","Philadelphia 76ers",1700000,"Francisco Elson","C","2009-2010"
"2461","Detroit Pistons",1677840,"Austin Daye","SF","2009-2010"
"2462","Philadelphia 76ers",1658280,"Marreese Speights","F","2009-2010"
"2463","Dallas Mavericks",1657500,"J.J. Barea","PG","2009-2010"
"2464","New Jersey Nets",1629120,"Sean Williams","PF","2009-2010"
"2465","Memphis Grizzlies",1627779,"Hamed Haddadi","C","2009-2010"
"2466","Indiana Pacers",1620000,"Solomon Jones","PF","2009-2010"
"2467","Orlando Magic",1600000,"Matt Barnes","SF","2009-2010"
"2468","Golden State Warriors",1600000,"Devean George","SF","2009-2010"
"2469","Chicago Bulls",1594080,"James Johnson","PF","2009-2010"
"2470","Sacramento Kings",1576696,"Sergio Rodriguez","PG","2009-2010"
"2471","Indiana Pacers",1575360,"Roy Hibbert","C","2009-2010"
"2472","Toronto Raptors",1547640,"Marco Belinelli","G","2009-2010"
"2473","Minnesota Timberwolves",1547640,"Oleksiy Pecherov","C","2009-2010"
"2474","Philadelphia 76ers",1514280,"Jrue Holiday","PG","2009-2010"
"2475","Minnesota Timberwolves",1500000,"Sasha Pavlovic","SG","2009-2010"
"2476","Washington Wizards",1496640,"JaVale McGee","C","2009-2010"
"2477","Washington Wizards",1477920,"Javaris Crittenton","PG","2009-2010"
"2478","Denver Nuggets",1438680,"Ty Lawson","G","2009-2010"
"2479","Cleveland Cavaliers",1429200,"JJ Hickson","C","2009-2010"
"2480","Philadelphia 76ers",1418880,"Jason Smith","PF","2009-2010"
"2481","Atlanta Hawks",1373880,"Jeff Teague","PG","2009-2010"
"2482","Charlotte Bobcats",1372080,"Alexis Ajinca","C","2009-2010"
"2483","Miami Heat",1362120,"Daequan Cook","SG","2009-2010"
"2484","Milwaukee Bucks",1350000,"Roko-Leni Ukic","PG","2009-2010"
"2485","Utah Jazz",1318920,"Eric Maynor","PG","2009-2010"
"2486","Orlando Magic",1317120,"Ryan Anderson","PF","2009-2010"
"2487","Phoenix Suns",1307640,"Jared Dudley","SF","2009-2010"
"2488","Denver Nuggets",1300000,"Malik Allen","PF","2009-2010"
"2489","New Orleans Hornets",1266120,"Darren Collison","PG","2009-2010"
"2490","New Jersey Nets",1264440,"Courtney Lee","SG","2009-2010"
"2491","New York Knicks",1255440,"Wilson Chandler","SF","2009-2010"
"2492","Utah Jazz",1250000,"Ronnie Price","PG","2009-2010"
"2493","Utah Jazz",1214040,"Kosta Koufos","C","2009-2010"
"2494","Sacramento Kings",1167000,"Omri Casspi","SF","2009-2010"
"2495","Portland Trail Blazers",1165320,"Rudy Fernandez","SG","2009-2010"
"2496","Oklahoma City Thunder",1120200,"Serge Ibaka","PF","2009-2010"
"2497","Oklahoma City Thunder",1120200,"Byron Mullens","C","2009-2010"
"2498","Portland Trail Blazers",1118760,"Nicolas Batum","SF","2009-2010"
"2499","Houston Rockets",1118520,"Aaron Brooks","G","2009-2010"
"2500","Chicago Bulls",1107572,"Devin Brown","SG","2009-2010"
"2501","Denver Nuggets",1086240,"Arron Afflalo","G","2009-2010"
"2502","San Antonio Spurs",1081680,"George Hill","PG","2009-2010"
"2503","Dallas Mavericks",1075440,"Rodrigue Beaubois","PG","2009-2010"
"2504","Phoenix Suns",1071720,"Alando Tucker","SF","2009-2010"
"2505","Memphis Grizzlies",1050480,"Darrell Arthur","F","2009-2010"
"2506","New Jersey Nets",1050387,"Chris Quinn","PG","2009-2010"
"2507","Philadelphia 76ers",1050000,"Royal Ivey","PG","2009-2010"
"2508","Chicago Bulls",1039800,"Taj Gibson","PF","2009-2010"
"2509","Oklahoma City Thunder",1036440,"D.J. White","PF","2009-2010"
"2510","Washington Wizards",1033342,"Quinton Ross","SF","2009-2010"
"2511","LA Clippers",1031000,"Steve Novak","SF","2009-2010"
"2512","Washington Wizards",1030189,"James Singleton","F","2009-2010"
"2513","New York Knicks",1028880,"J.R. Giddens","SG","2009-2010"
"2514","Memphis Grizzlies",1009680,"DeMarre Carroll","SF","2009-2010"
"2515","Minnesota Timberwolves",1003560,"Wayne Ellington","SG","2009-2010"
"2516","Golden State Warriors",1000497,"C.J. Watson","PG","2009-2010"
"2517","Chicago Bulls",1000497,"Aaron Gray","C","2009-2010"
"2518","New York Knicks",996240,"Toney Douglas","PG","2009-2010"
"2519","San Antonio Spurs",989670,"Ian Mahinmi","C","2009-2010"
"2520","Los Angeles Lakers",959111,"Didier Ilunga-Mbenga","C","2009-2010"
"2521","Los Angeles Lakers",959111,"Josh Powell","PF","2009-2010"
"2522","Miami Heat",945000,"Yakhouba Diawara","SG","2009-2010"
"2523","Cleveland Cavaliers",925000,"Zydrunas Ilgauskas","C","2009-2010"
"2524","Atlanta Hawks",884881,"Salim Stoudamire","SG","2009-2010"
"2525","Oklahoma City Thunder",870968,"Kyle Weaver","SG","2009-2010"
"2526","Utah Jazz",870000,"Kyrylo Fesenko","C","2009-2010"
"2527","Sacramento Kings",870000,"Donte Greene","SF","2009-2010"
"2528","Phoenix Suns",855189,"Lou Amundson","PF","2009-2010"
"2529","Toronto Raptors",855189,"Patrick O'Bryant","C","2009-2010"
"2530","Sacramento Kings",855189,"Quincy Douby","SG","2009-2010"
"2531","Cleveland Cavaliers",855189,"Leon Powe","PF","2009-2010"
"2532","Atlanta Hawks",855189,"Randolph Morris","C","2009-2010"
"2533","San Antonio Spurs",850000,"DeJuan Blair","C","2009-2010"
"2534","New York Knicks",825497,"James White","SG","2009-2010"
"2535","New York Knicks",825497,"Ike Diogu","PF","2009-2010"
"2536","New Orleans Hornets",825497,"Sean Marks","PF","2009-2010"
"2537","Golden State Warriors",825497,"Mikki Moore","C","2009-2010"
"2538","San Antonio Spurs",825497,"Keith Bogans","SG","2009-2010"
"2539","Miami Heat",825497,"Jamaal Magloire","C","2009-2010"
"2540","Orlando Magic",825497,"Jason Williams","PG","2009-2010"
"2541","LA Clippers",825497,"Brian Skinner","PF","2009-2010"
"2542","Washington Wizards",825497,"Paul Davis","C","2009-2010"
"2543","Sacramento Kings",825497,"Desmond Mason","SF","2009-2010"
"2544","Denver Nuggets",825497,"Johan Petro","C","2009-2010"
"2545","Sacramento Kings",825479,"Sean May","C","2009-2010"
"2546","Memphis Grizzlies",824200,"Sam Young","SF","2009-2010"
"2547","Sacramento Kings",786650,"Ime Udoka","SG","2009-2010"
"2548","Miami Heat",756000,"Mario Chalmers","G","2009-2010"
"2549","Washington Wizards",752659,"Earl Boykins","PG","2009-2010"
"2550","Memphis Grizzlies",738091,"Jamaal Tinsley","PG","2009-2010"
"2551","Los Angeles Lakers",736420,"Sun Yue","SG","2009-2010"
"2552","Charlotte Hornets",736420,"Dontell Jefferson","SG","2009-2010"
"2553","Toronto Raptors",736420,"Sonny Weems","SG","2009-2010"
"2554","Detroit Pistons",736420,"Walter Sharpe","PF","2009-2010"
"2555","LA Clippers",736420,"Mike Taylor","PG","2009-2010"
"2556","New York Knicks",736420,"Joe Crawford","SG","2009-2010"
"2557","LA Clippers",736420,"DeAndre Jordan","C","2009-2010"
"2558","Milwaukee Bucks",736420,"Darnell Jackson","PF","2009-2010"
"2559","Atlanta Hawks",736420,"Othello Hunter","SF","2009-2010"
"2560","Houston Rockets",725000,"Chase Budinger","SF","2009-2010"
"2561","Houston Rockets",725000,"Jermaine Taylor","SG","2009-2010"
"2562","Oklahoma City Thunder",679821,"Mike Wilks","PG","2009-2010"
"2563","Memphis Grizzlies",650686,"Allen Iverson","SG","2009-2010"
"2564","Philadelphia 76ers",650000,"Jodie Meeks","SG","2009-2010"
"2565","Golden State Warriors",632455,"Chris Hunter","C","2009-2010"
"2566","New York Knicks",597271,"Jonathan Bender","SF","2009-2010"
"2567","New Jersey Nets",475875,"Rafer Alston","PG","2009-2010"
"2568","Detroit Pistons",457588,"DaJuan Summers","SF","2009-2010"
"2569","Portland Trail Blazers",457588,"Dante Cunningham","SF","2009-2010"
"2570","Portland Trail Blazers",457588,"Patty Mills","PG","2009-2010"
"2571","Memphis Grizzlies",457588,"Derrick Byars","SF","2009-2010"
"2572","Phoenix Suns",457588,"Taylor Griffin","PF","2009-2010"
"2573","Memphis Grizzlies",457588,"Trey Gilder","SF","2009-2010"
"2574","Sacramento Kings",457588,"Jon Brockman","PF","2009-2010"
"2575","Utah Jazz",457588,"Wesley Matthews","SG","2009-2010"
"2576","Atlanta Hawks",451595,"Mario West","SG","2009-2010"
"2577","Portland Trail Blazers",427316,"Anthony Tolliver","PF","2009-2010"
"2578","Milwaukee Bucks",422460,"Jerry Stackhouse","SF","2009-2010"
"2579","Utah Jazz",269169,"Sundiata Gaines","PG","2009-2010"
"2580","Washington Wizards",228226,"Shaun Livingston","PG","2009-2010"
"2581","Portland Trail Blazers",208802,"Travis Diener","PG","2009-2010"
"2582","Chicago Bulls",186271,"Chris Richard","PF","2009-2010"
"2583","Charlotte Bobcats",160244,"Larry Hughes","SG","2009-2010"
"2584","Golden State Warriors",118435,"Reggie Williams","SF","2009-2010"
"2585","Utah Jazz",113051,"Othyus Jeffers","SG","2009-2010"
"2586","Minnesota Timberwolves",111685,"Brian Cardinal","PF","2009-2010"
"2587","Washington Wizards",95301,"Mike Harris","SF","2009-2010"
"2588","San Antonio Spurs",88826,"Garrett Temple","SG","2009-2010"
"2589","null Unknown",75476,"Kenny Hasbrouck","NA","2009-2010"
"2590","Washington Wizards",69310,"Cartier Martin","PF","2009-2010"
"2591","New York Knicks",63127,"Earl Barron","C","2009-2010"
"2592","null Unknown",59217,"Curtis Jerrells","NA","2009-2010"
"2593","Phoenix Suns",48559,"Dwayne Jones II","PF","2009-2010"
"2594","Sacramento Kings",47651,"Joey Dorsey","PF","2009-2010"
"2595","Washington Wizards",45759,"Alonzo Gee","SF","2009-2010"
"2596","Portland Trail Blazers",43703,"Shavlik Randolph","PF","2009-2010"
"2597","Oklahoma City Thunder",40375,"Mustafa Shakur","PG","2009-2010"
"2598","Washington Wizards",40375,"Cedric Jackson","G","2009-2010"
"2599","Miami Heat",29135,"Alexander Johnson","SF","2009-2010"
"2600","Boston Celtics",25991,"Rob Kurz","SF","2009-2010"
"2601","Golden State Warriors",17328,"Coby Karl","PG","2009-2010"
"2602","Utah Jazz",10767,"Brian Butch","C","2009-2010"
"2603","Portland Trail Blazers",5383,"Greg Stiemsma","C","2009-2010"
"2604","Memphis Grizzlies",2692,"Tony Gaffney","SF","2009-2010"
"2605","Boston Celtics",2692,"Oliver Lafayette","G","2009-2010"
"2606","Los Angeles Lakers",24806250,"Kobe Bryant","SF","2010-2011"
"2607","Memphis Grizzlies",17666666,"Zach Randolph","PF","2010-2011"
"2608","Phoenix Suns",17522375,"Vince Carter","SF","2010-2011"
"2609","Dallas Mavericks",17278618,"Dirk Nowitzki","PF","2010-2011"
"2610","New York Knicks",17149243,"Carmelo Anthony","PF","2010-2011"
"2611","Orlando Magic",16647180,"Dwight Howard","C","2010-2011"
"2612","Denver Nuggets",16545454,"Kenyon Martin","PF","2010-2011"
"2613","New York Knicks",16486611,"Amar'e Stoudemire","C","2010-2011"
"2614","Atlanta Hawks",16324500,"Joe Johnson","G","2010-2011"
"2615","Philadelphia 76ers",15959099,"Elton Brand","PF","2010-2011"
"2616","New Orleans Hornets",14940153,"Chris Paul","PG","2010-2011"
"2617","Washington Wizards",19573711,"Rashard Lewis","PF","2010-2011"
"2618","Utah Jazz",14940153,"Deron Williams","PG","2010-2011"
"2619","Miami Heat",14500000,"Chris Bosh","PF","2010-2011"
"2620","Miami Heat",14500000,"LeBron James","SF","2010-2011"
"2621","Phoenix Suns",14444443,"Jason Richardson","SG","2010-2011"
"2622","Chicago Bulls",14400000,"Carlos Boozer","PF","2010-2011"
"2623","Miami Heat",14200000,"Dwyane Wade","SG","2010-2011"
"2624","LA Clippers",1.4e+07,"Baron Davis","PG","2010-2011"
"2625","Boston Celtics",13876321,"Paul Pierce","SF","2010-2011"
"2626","Los Angeles Lakers",13700000,"Andrew Bynum","C","2010-2011"
"2627","Memphis Grizzlies",13603750,"Rudy Gay","SF","2010-2011"
"2628","San Antonio Spurs",18835381,"Tim Duncan","C","2010-2011"
"2629","Portland Trail Blazers",13603750,"Brandon Roy","SG","2010-2011"
"2630","San Antonio Spurs",13500000,"Tony Parker","PG","2010-2011"
"2631","Sacramento Kings",13428129,"Samuel Dalembert","C","2010-2011"
"2632","Cleveland Cavaliers",13358905,"Antawn Jamison","PF","2010-2011"
"2633","Oklahoma City Thunder",13270000,"Nick Collison","F","2010-2011"
"2634","New York Knicks",13150000,"Chauncey Billups","PG","2010-2011"
"2635","Utah Jazz",1.3e+07,"Al Jefferson","C","2010-2011"
"2636","Dallas Mavericks",12600000,"Tyson Chandler","C","2010-2011"
"2637","Detroit Pistons",12500000,"Richard Hamilton","SG","2010-2011"
"2638","Philadelphia 76ers",12345250,"Andre Iguodala","SG","2010-2011"
"2639","Boston Celtics",18832044,"Kevin Garnett","PF","2010-2011"
"2640","San Antonio Spurs",11854584,"Manu Ginobili","G","2010-2011"
"2641","Milwaukee Bucks",18300000,"Michael Redd","SG","2010-2011"
"2642","Los Angeles Lakers",17823000,"Pau Gasol","C","2010-2011"
"2643","Utah Jazz",17823000,"Andrei Kirilenko","SF","2010-2011"
"2644","Washington Wizards",17730694,"Gilbert Arenas","PG","2010-2011"
"2645","Houston Rockets",17686100,"Yao Ming","C","2010-2011"
"2646","LA Clippers",11800000,"Chris Kaman","C","2010-2011"
"2647","Portland Trail Blazers",11749832,"Marcus Camby","C","2010-2011"
"2648","Atlanta Hawks",11700000,"Josh Smith","PF","2010-2011"
"2649","Miami Heat",11530592,"Eddy Curry","C","2010-2011"
"2650","New Orleans Hornets",11495000,"Emeka Okafor","C","2010-2011"
"2651","Denver Nuggets",11360000,"Nene Hilario","C","2010-2011"
"2652","Chicago Bulls",11345000,"Luol Deng","SF","2010-2011"
"2653","Portland Trail Blazers",11244000,"LaMarcus Aldridge","PF","2010-2011"
